,Rockstar Games,Sega,Nordic Games,Maximum Games,Insomniac Games,Moss,Bandai Namco Entertainment,Mojang,Microsoft Studios,Grey Box,Little Orbit,Koei Tecmo,Konami Digital Entertainment,Snail Game,Activision,Ubisoft,Namco Bandai Games,Microids,BioWare,Bethesda Softworks,Versus Evil,Focus Home Interactive,2K Games,Kalypso Media,Revolution Software,Ice-pick Lodge,Warner Bros. Interactive Entertainment,THQ Nordic,Studio Wildcard,Electronic Arts,Sold Out,Koch Media,Ready at Dawn,Games Workshop,Team17 Software,Bigben Interactive,Wired Productions,PlatinumGames,Tecmo Koei,Square Enix,505 Games,Deep Silver,Gearbox Software,Soedesco,Telltale Games,GameTrust,Disney Interactive Studios,Capcom,Stainless Games,Outright Games,Bandai Namco Games,Unknown,Gun Media,11 bit studios,Triangle Service,Level 5,Rebellion Developments,5pb,Tripwire Interactive,Majesco Entertainment,Devolver Digital,Harmonix Music Systems,Nighthawk Interactive,Ravenscourt,Alternative Software,Astragon,Take-Two Interactive,Atari,2K Sports,Rebellion,Renegade Kid,Tru Blu Entertainment,GameMill Entertainment,Wizards of the Coast,Yacht Club Games,GameMill,City Interactive,Microsoft Game Studios,EA Sports,Big Ben Interactive,Blizzard Entertainment,MLB.com,Paradox InteractiveÊ,Milestone,UIG Entertainment,Experience Inc.,Introversion Software,TopWare Interactive,Sinxsoft,Codemasters,Team17 Digital Ltd,Frontier Developments,System 3,PQube,Dusenberry Martin Racing,Milestone S.r.l.,Techland,Milestone S.r.l
Rockstar Games,0,1,2,1,1,1,1,1,3,1,1,1,2,1,3,2,1,1,1,1,1,2,1,2,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,3,2,1,2,2,2,1,2,2,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sega,1,0,1,0,0,0,0,1,2,1,0,0,0,0,3,2,1,1,0,0,0,1,0,2,1,1,2,2,0,1,1,1,0,0,0,1,0,0,0,1,2,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nordic Games,2,1,0,1,0,0,0,1,4,1,0,0,2,0,3,2,0,1,0,0,0,2,3,2,1,1,2,3,1,1,1,1,0,0,0,2,0,0,0,2,2,0,1,2,1,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
Maximum Games,1,0,1,0,1,1,1,0,4,0,1,1,2,1,3,4,2,0,1,2,1,3,2,1,0,0,2,2,0,4,1,3,1,1,1,3,1,1,1,1,4,2,2,2,1,1,1,2,1,1,3,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,0,0,2,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1
Insomniac Games,1,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moss,1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bandai Namco Entertainment,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mojang,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microsoft Studios,3,2,4,4,1,1,1,1,0,1,1,1,3,1,7,9,6,1,1,4,1,7,4,4,1,1,7,8,1,8,3,6,1,1,1,4,1,1,2,5,8,5,3,6,3,1,2,6,2,1,3,5,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,2,1
Grey Box,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Little Orbit,1,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Koei Tecmo,1,0,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Konami Digital Entertainment,2,0,2,2,1,1,1,0,3,0,1,1,0,1,3,3,1,0,1,1,1,2,2,1,0,0,2,2,1,2,1,2,1,1,1,1,1,1,1,2,2,1,2,2,1,1,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Snail Game,1,0,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Activision,3,3,3,3,1,1,1,1,7,1,1,1,3,1,0,8,2,1,1,3,1,5,3,3,1,1,5,5,1,4,2,3,1,1,1,3,1,1,1,4,5,3,3,3,3,1,3,4,2,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ubisoft,2,2,2,4,1,1,1,0,9,0,1,1,3,1,8,0,5,0,1,4,1,5,3,2,0,0,6,6,1,7,2,5,1,1,1,3,1,1,2,4,6,4,3,4,2,1,3,6,2,1,3,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,2,1,1,0,1,0,1,1,1,0,0,0,2,1,1,1,1
Namco Bandai Games,1,1,0,2,1,1,1,0,6,0,1,1,1,1,2,5,0,0,1,2,1,3,0,2,0,0,4,5,0,6,2,5,1,1,1,1,1,1,2,2,5,4,1,3,1,1,1,4,1,1,2,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,2,1,1,2,1
Microids,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BioWare,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bethesda Softworks,1,0,0,2,1,1,1,0,4,0,1,1,1,1,3,4,2,0,1,0,1,4,1,1,0,0,2,2,0,3,1,2,1,1,1,1,1,1,1,3,3,3,2,3,2,1,1,3,2,1,2,3,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,1,0,1,1,0,1,1,2,0,0,2,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0
Versus Evil,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Focus Home Interactive,2,1,2,3,1,1,1,1,7,1,1,1,2,1,5,5,3,1,1,4,1,0,2,3,1,1,3,4,0,5,1,4,1,1,1,3,1,1,1,4,6,4,2,4,3,1,1,3,2,1,2,4,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,2,1,2,1,1,2,2,1,0,1,1,1,1,1,0,0,1,0,0,0,0,2,0
2K Games,1,0,3,2,0,0,0,0,4,0,0,0,2,0,3,3,0,0,0,1,0,2,0,1,0,0,1,2,1,2,1,1,0,0,0,2,0,0,0,1,2,1,2,3,0,0,1,2,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
Kalypso Media,2,2,2,1,1,1,1,1,4,1,1,1,1,1,3,2,2,1,1,1,1,3,1,0,1,1,2,4,0,2,2,2,1,1,1,1,1,1,1,2,3,2,1,3,2,1,1,1,1,1,1,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,1,0,0,0,1,0
Revolution Software,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ice-pick Lodge,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Warner Bros. Interactive Entertainment,3,2,2,2,1,1,1,1,7,1,1,1,2,1,5,6,4,1,1,2,1,3,1,2,1,1,0,5,1,4,2,3,1,1,1,2,1,1,2,4,4,2,2,2,3,1,2,4,2,1,2,3,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,2,1,1,0,1
THQ Nordic,3,2,3,2,1,1,1,1,8,1,1,1,2,1,5,6,5,1,1,2,1,4,2,4,1,1,5,0,1,5,3,5,1,1,1,2,1,1,1,4,6,4,2,5,2,1,3,4,1,1,2,4,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1
Studio Wildcard,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Electronic Arts,1,1,1,4,1,1,1,0,8,0,1,1,2,1,4,7,6,0,1,3,1,5,2,2,0,0,4,5,0,0,2,6,1,1,1,3,1,1,2,2,7,5,2,4,1,1,1,5,1,1,3,2,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,3,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0,1,0,2,1,1,2,1
Sold Out,1,1,1,1,1,1,1,0,3,0,1,1,1,1,2,2,2,0,1,1,1,1,1,2,0,0,2,3,0,2,0,2,1,1,1,0,1,1,1,1,2,2,1,2,1,1,1,2,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
Koch Media,1,1,1,3,1,1,1,0,6,0,1,1,2,1,3,5,5,0,1,2,1,4,1,2,0,0,3,5,0,6,2,0,1,1,1,2,1,1,1,2,6,4,1,3,1,1,1,3,1,1,2,2,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,1,2,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,2,1
Ready at Dawn,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Games Workshop,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Team17 Software,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bigben Interactive,1,1,2,3,0,0,0,1,4,1,0,0,1,0,3,3,1,1,0,1,0,3,2,1,1,1,2,2,0,3,0,2,0,0,0,0,0,0,0,1,4,1,1,1,1,0,0,1,0,0,2,1,0,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,0,0,2,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1
Wired Productions,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PlatinumGames,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tecmo Koei,1,0,0,1,1,1,1,0,2,0,1,1,1,1,1,2,2,0,1,1,1,1,0,1,0,0,2,1,0,2,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Square Enix,3,1,2,1,1,1,1,1,5,1,1,1,2,1,4,4,2,1,1,3,1,4,1,2,1,1,4,4,1,2,1,2,1,1,1,1,1,1,1,0,3,2,2,3,3,1,2,3,2,1,1,4,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0
505 Games,2,2,2,4,1,1,1,1,8,1,1,1,2,1,5,6,5,1,1,3,1,6,2,3,1,1,4,6,0,7,2,6,1,1,1,4,1,1,1,3,0,5,2,4,2,1,1,4,1,1,3,3,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,3,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,2,1
Deep Silver,1,1,0,2,1,1,1,0,5,0,1,1,1,1,3,4,4,0,1,3,1,4,1,2,0,0,2,4,0,5,2,4,1,1,1,1,1,1,1,2,5,0,2,4,1,1,1,4,1,1,2,2,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,2,1,1,0,0,2,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,2,0
Gearbox Software,2,0,1,2,1,1,1,0,3,0,1,1,2,1,3,3,1,0,1,2,1,2,2,1,0,0,2,2,1,2,1,1,1,1,1,1,1,1,1,2,2,2,0,3,1,1,2,3,1,1,2,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Soedesco,2,0,2,2,1,1,1,0,6,0,1,1,2,1,3,4,3,0,1,3,1,4,3,3,0,0,2,5,1,4,2,3,1,1,1,1,1,1,1,3,4,4,3,0,1,1,2,4,1,1,2,3,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2,1,1,0,0,2,0,1,0,2,1,1,1,1,0,1,1,1,0,0,0,2,0
Telltale Games,2,1,1,1,1,1,1,1,3,1,1,1,1,1,3,2,1,1,1,2,1,3,0,2,1,1,3,2,0,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,0,1,1,1,2,1,1,3,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
